time,cases
2021_week_1,164
2021_week_2,121
2021_week_3,162
2021_week_4,141
2021_week_5,118
2021_week_6,108
2021_week_7,87
2021_week_8,81
2021_week_9,72
2021_week_10,60
2021_week_11,45
2021_week_12,61
2021_week_13,47
2021_week_14,54
2021_week_15,68
2021_week_16,76
2021_week_17,84
2021_week_18,62
2021_week_19,150
2021_week_20,244
2021_week_21,228
2021_week_22,239
2021_week_23,343
2021_week_24,382
2021_week_25,362
2021_week_26,403
2021_week_27,498
2021_week_28,544
2021_week_29,468
2021_week_30,578
2021_week_31,684
2021_week_32,612
2021_week_33,898
2021_week_34,1508
2021_week_35,1836
2021_week_36,2113
2021_week_37,2514
2021_week_38,3109
2021_week_39,3583
2021_week_40,4826
2021_week_41,5358
2021_week_42,5110
2021_week_43,4790
2021_week_44,4805
2021_week_45,4392
2021_week_46,5343
2021_week_47,4446
2021_week_48,3860
2021_week_49,3583
2021_week_50,3162
2021_week_51,2731
2021_week_52,1440
2022_week_1,1168
2022_week_2,1034
2022_week_3,1005
2022_week_4,819
2022_week_5,606
2022_week_6,422
2022_week_7,280
2022_week_8,238
2022_week_9,198
2022_week_10,172
2022_week_11,209
2022_week_12,176
2022_week_13,185
2022_week_14,213
2022_week_15,277
2022_week_16,374
2022_week_17,440
2022_week_18,336
2022_week_19,381
2022_week_20,582
2022_week_21,620
2022_week_22,742
2022_week_23,807
2022_week_24,1131
2022_week_25,1881
2022_week_26,3062
2022_week_27,4474
2022_week_28,5787
2022_week_29,6684
2022_week_30,9422
2022_week_31,10307
2022_week_32,7911
2022_week_33,8396
2022_week_34,10397
